,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20,Target
2021-11-30,1094.4857177734375,1126.564088119279,1086.9552748107687,1122.9694687396177,32172299,1129.082781982422,1155.40474609375,1126.8402718046693,41.22654981307851,1192.2460600714987,1065.919503893345,16061806.6,0
2021-12-01,1122.5147705078125,1125.699825172228,1103.4496957163708,1107.044315866843,10104610,1127.4720458984375,1156.1004638671875,1126.4283193002068,44.04627721086666,1189.5146359997766,1065.4294557970984,15792981.4,0
2021-12-02,1129.7266845703125,1135.8010837797613,1120.057665060323,1123.7432731717324,12720411,1127.063671875,1156.9058349609375,1126.7424493259311,44.93213941276614,1188.924673325352,1065.202670424648,15900545.45,0
2021-12-03,1095.78271484375,1136.8475802217874,1092.028866217897,1136.8020863205188,19222481,1125.3494140625,1156.9381420898437,1123.7939031847711,37.568089250098964,1188.741130423191,1061.9576977018091,16262198.0,1
2021-12-06,1075.0113525390625,1103.404119692969,1072.5315739182363,1099.309066908383,10332254,1122.2496398925782,1156.320234375,1119.147945980418,36.094597419761485,1189.204100527846,1055.2951792573103,16693527.9,1
2021-12-07,1083.7703857421875,1093.8488493527543,1073.8284038337267,1081.1768723394634,11235122,1119.51728515625,1155.336953125,1115.7786545291578,40.72154178133898,1188.1332457485655,1050.9013245639344,16238424.85,0
2021-12-08,1100.2645263671875,1106.4981533356588,1094.895403830012,1102.994641711683,8744178,1117.1603149414063,1154.7490771484374,1114.301118513732,46.79242354137499,1184.9768014937852,1049.3438283890275,15891508.9,0
2021-12-09,1117.7142333984375,1126.1091818377995,1103.4041151302852,1107.9542272517804,13213547,1115.0342712402344,1154.1302612304687,1114.6261770741803,48.86843931535606,1179.7605420338066,1050.3080004466622,16039512.75,0
2021-12-10,1118.851806640625,1122.0596079618992,1105.8383850496557,1110.343003210938,8364414,1112.859307861328,1153.3194287109375,1115.0286179852703,57.46665555676195,1173.6975966014702,1052.0210191211859,15921609.55,0
2021-12-13,1096.4197998046875,1125.7453143246432,1093.8489128488443,1125.4723509045857,12901733,1108.6857116699218,1152.2437817382813,1113.2563495871195,51.79028948468787,1161.0200560288854,1056.3513673109583,16131079.15,0
2021-12-14,1082.996826171875,1094.758924705155,1079.925506579218,1082.928585323525,12991523,1104.1890563964844,1150.977939453125,1110.3744902142391,52.178822744841305,1148.049836054679,1060.3282767382898,16540491.85,0
