,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-05-04,1,1,0.6415404,1117.503662109375,0.0,102644.41075257711,102644.41075257711,96809.53261787623,102644.41075257711
2023-05-05,1,1,0.66496766,1114.650634765625,0.0,102382.35585245496,102382.35585245496,96562.37437306735,102382.35585245496
2023-05-08,1,1,0.704839,1128.4139404296875,0.0,103646.53640755817,103646.53640755817,97754.69188735612,103646.53640755817
2023-05-09,0,1,0.8328974,1131.90625,0.0,103967.31035234658,103967.31035234658,98057.23126035533,103967.31035234658
2023-05-10,0,1,0.82403696,1139.6895751953125,0.0,104682.22060763874,104682.22060763874,98731.50204793275,104682.22060763874
2023-05-11,0,1,0.8140304,1132.2486572265625,0.0,103998.76097680502,103998.76097680502,98086.8940567223,103998.76097680502
2023-05-12,0,1,0.8036009,1134.097412109375,0.0,104168.57192419292,104168.57192419292,98247.05200716003,104168.57192419292
2023-05-15,0,1,0.79236156,1136.334228515625,0.0,104374.02691263371,104374.02691263371,98440.82779348033,104374.02691263371
2023-05-16,1,1,0.75530285,1120.1513671875,0.0,102887.60649036804,102887.60649036804,97038.9037598369,102887.60649036804
2023-05-17,1,1,0.7528714,1113.5322265625,0.0,102279.62835823456,102279.62835823456,96465.4864799072,102279.62835823456
2023-05-18,1,1,0.7074056,1111.1356201171875,0.0,102059.49641171316,102059.49641171316,96257.8680552823,102059.49641171316
2023-05-19,1,1,0.6534263,1114.7418212890625,0.0,102390.73147330004,102390.73147330004,96570.27387712657,102390.73147330004
2023-05-22,1,1,0.6604807,1120.6990966796875,0.0,102937.9162771577,102937.9162771577,97086.3536590521,102937.9162771577
2023-05-23,1,1,0.7225278,1120.49365234375,0.0,102919.04590248264,102919.04590248264,97068.55598123191,102919.04590248264
2023-05-24,1,1,0.6360127,1113.9659423828125,0.0,102319.46581588192,102319.46581588192,96503.05935530536,102319.46581588192
2023-05-25,1,1,0.6293118,1113.8289794921875,0.0,102306.88556609854,102306.88556609854,96491.19423675857,102306.88556609854
