,Close,High,Low,Open,Volume
2022-02-14,1064.0684814453125,1071.5306852913075,1052.4428632313213,1064.841998172486,10719633
2022-02-15,1100.1964111328125,1102.9037798370225,1062.7716573911962,1069.824295697398,11212671
2022-02-16,1097.9212646484375,1107.0442358991004,1090.1860980638264,1105.6791781831728,10392840
2022-02-17,1111.82177734375,1117.0089242641513,1096.5789142269996,1101.1745201113265,12853252
2022-02-18,1103.1312255859375,1117.6915612787002,1101.1973736454247,1112.2314504381943,6775458
2022-02-21,1091.9833984375,1109.091873871227,1085.021748188729,1097.4890031023695,11107193
2022-02-22,1087.023681640625,1090.1633625619224,1067.9814753307442,1070.5977356852184,13494914
2022-02-23,1080.2213134765625,1095.0092390254035,1077.468571284383,1092.5294602510214,7310110
2022-02-24,1026.393310546875,1064.6826864402094,1020.7739713257805,1048.8026672886117,24846650
2022-02-25,1039.2247314453125,1050.1449523145036,1035.7210994030459,1037.4728552470633,14570089
2022-02-28,1073.62353515625,1077.1726610969984,1020.5919703644313,1020.5919703644313,21297446
2022-03-02,1091.3690185546875,1092.4838597770897,1059.8139450476658,1062.2027357830907,21471786
2022-03-03,1082.1551513671875,1098.785820478749,1078.4013026500006,1092.0288927878125,10186748
2022-03-04,1058.1533203125,1075.784976526752,1055.7872762059867,1070.643322817288,10805667
2022-03-07,1019.022216796875,1052.0333374144284,1011.0367133096933,1036.8358471079189,17983310
2022-03-08,1017.1793212890625,1021.9570232050447,991.92617525868,1006.2590402981642,21289374
2022-03-09,1071.1436767578125,1077.0133522040442,1016.5649623830144,1017.4068401715399,20414228
2022-03-10,1088.50244140625,1094.3038764083778,1073.8283721325647,1092.028820377732,17980493
2022-03-11,1091.64208984375,1097.0340801861346,1081.1313132856126,1081.1313132856126,12257423
2022-03-14,1100.605712890625,1103.1311056498985,1080.1984500463022,1086.06812572994,8340678
2022-03-15,1075.398193359375,1104.7464533796308,1065.1148867530296,1104.7464533796308,15925769
2022-03-16,1093.55322265625,1095.6235563592827,1081.6091471404573,1083.8387095081287,11149828
2022-03-17,1129.203369140625,1136.3469946247096,1098.8994972340938,1106.9304944761457,21422098
2022-03-21,1122.6966552734375,1130.249846191458,1109.7743416930666,1112.0493977484434,11999466
2022-03-22,1151.703857421875,1153.4328665457272,1116.417676927256,1119.3751418583722,22557065
2022-03-23,1155.366455078125,1167.0375661035232,1147.9953600851836,1147.9953600851836,15462187
2022-03-24,1173.3167724609375,1175.8194185614975,1142.0802732954487,1142.0802732954487,13168266
2022-03-25,1181.1429443359375,1190.3114093068612,1172.5659000566366,1175.0685459381182,14222488
2022-03-28,1193.018798828125,1196.5678044575318,1176.8885634283017,1187.5813149251485,9891424
2022-03-29,1193.291748046875,1200.321638726132,1186.3983390664755,1200.321638726132,8684065
2022-03-30,1216.2244873046875,1223.0724028520565,1190.8120505919683,1201.1863453712592,15811550
2022-03-31,1198.8428955078125,1214.7456618708436,1196.0446595036312,1212.584340487485,13223718
2022-04-01,1208.4437255859375,1212.6753807326781,1193.041632181676,1199.4117414992725,7922880
2022-04-04,1212.015625,1217.1572786813153,1201.9826544660282,1208.2617761125623,7929162
2022-04-05,1194.88427734375,1214.8366019261355,1192.4499926471442,1206.2823045318924,13149870
2022-04-06,1191.6993408203125,1198.72923220727,1177.1617516980632,1177.1617516980632,12257215
2022-04-07,1170.677734375,1185.7613700217532,1168.015859682402,1180.8016922079776,15496499
2022-04-08,1190.15234375,1194.40674604813,1164.8308932448695,1164.8308932448695,15152495
2022-04-11,1187.6724853515625,1200.572052745213,1175.296097837182,1183.0312648122701,9254209
2022-04-12,1165.3084716796875,1184.2141946105721,1162.7375850997262,1177.1159431844708,13217742
2022-04-13,1161.0313720703125,1179.664132404293,1158.2330158892628,1171.4284128604863,10354235
2022-04-18,1157.4822998046875,1164.7397805103374,1147.4493300930017,1152.545489452205,9974224
2022-04-19,1201.595703125,1213.972089786732,1160.7584292751112,1163.920736701103,26141820
2022-04-20,1236.9273681640625,1244.0028730390352,1205.3722941596611,1209.0124078704498,25072240
2022-04-21,1265.888916015625,1269.0284764486553,1243.0927417436083,1251.692532864583,21708633
2022-04-22,1255.2872314453125,1274.9437261640837,1248.6440386176957,1255.3327253469529,15054154
2022-04-25,1226.2574462890625,1255.1051538112451,1211.9928211860372,1247.825046254362,17063215
2022-04-26,1262.9539794921875,1271.7584924700711,1232.035943159545,1233.0824231040833,12227666
2022-04-27,1264.1826171875,1286.7739479010713,1253.580733766915,1253.9448053007873,19338945
2022-04-28,1283.065673828125,1297.239310503393,1267.7089550364747,1278.5610555725848,25614076
2022-04-29,1269.5972900390625,1299.5825839676365,1263.7048672221586,1299.5825839676365,18214862
2022-05-02,1265.13818359375,1276.5362108883514,1254.9458650066724,1256.7432351242765,9467006
2022-05-04,1225.64306640625,1269.4835388914837,1217.7486714056079,1267.2084828840266,19247660
2022-05-05,1201.64111328125,1242.182673959599,1197.5915547447282,1239.225089287073,17210669
2022-05-06,1192.42724609375,1209.8769247815503,1180.0963532492094,1188.582409796725,19649948
2022-05-09,1145.8568115234375,1181.711782557566,1140.715158224648,1171.6331985147315,18083752
2022-05-10,1125.9954833984375,1149.633416525882,1118.4195452683007,1135.2550569441219,19511677
2022-05-11,1114.4609375,1130.6821606199796,1102.0163098457965,1125.0854480941018,16643899
2022-05-12,1091.755859375,1107.8859741719987,1078.378486557952,1104.5416911448524,20490321
2022-05-13,1104.132080078125,1127.5196744148523,1099.0131741208802,1103.8591166926499,19308778
2022-05-16,1104.4051513671875,1128.8847193240686,1099.6047027471154,1107.7039403213957,13437911
2022-05-17,1150.7935791015625,1155.6850157625827,1106.5891549718588,1107.9997065605392,16551828
2022-05-18,1154.979736328125,1169.3808421611643,1141.2839062872033,1155.5712773721964,17276788
2022-05-19,1128.361572265625,1143.2177387581737,1122.0824507846328,1130.2499303127915,14699118
2022-05-20,1194.15625,1203.2337272058603,1138.4400638194588,1143.2176453948912,21793091
2022-05-23,1186.1708984375,1207.3971730449673,1179.8461630484092,1197.364082975496,15252755
2022-05-24,1190.2431640625,1200.3216273375488,1181.984697463416,1186.2163522132455,13527818
2022-05-25,1188.491455078125,1208.8304783808387,1183.713752995507,1198.956737262974,12714544
2022-05-26,1177.16162109375,1198.9111951609145,1159.3706180239299,1194.1334932703796,17882023
2022-05-27,1171.701416015625,1185.3744993862058,1155.7760235250337,1179.8688949887019,16521973
2022-05-30,1212.5159912109375,1216.7020315446362,1180.392124401247,1189.8562993151577,13853398
2022-05-31,1197.8873291015625,1218.886133257268,1190.1749097343077,1201.8686470065388,70620653
2022-06-01,1198.2742919921875,1208.1480337988985,1190.402522676765,1198.638243225424,9776989
2022-06-02,1239.5892333984375,1243.2975879303071,1198.5016232049925,1198.5016232049925,22126569
2022-06-03,1264.7059326171875,1281.9281427980586,1247.642951094485,1248.5530698496407,23939791
2022-06-06,1259.2684326171875,1280.4037178841604,1252.101940232276,1264.933385678996,11093152
